TIME1,TIME,HUMIDITY,TEMPERATURE,ABSOLUTE PRESSURE,PRESSURE IN HG,SEALEVEL PRESSURE,SEA LEVEL PRESSURE IN HG
276,[2019-11-02 21:26:29.401] ,96,24.8,912.84,26.96 inHg,936.24,27.65 inHg
277,[2019-11-02 21:36:29.815] ,95.6,24.8,912.85,26.96 inHg,936.25,27.65 inHg
278,[2019-11-02 21:46:30.229] ,95.7,24.7,912.21,26.94 inHg,935.59,27.63 inHg
279,[2019-11-02 21:56:30.642] ,95.6,25,911.34,26.92 inHg,934.7,27.60 inHg
280,[2019-11-02 22:06:31.056] ,95.2,25,911.21,26.91 inHg,934.57,27.60 inHg
281,[2019-11-02 22:16:31.470] ,94.9,25,911.7,26.93 inHg,935.07,27.62 inHg
282,[2019-11-02 22:26:31.884] ,94.7,25,911.7,,935.07,
283,[2019-11-02 22:36:32.298] ,94.5,25,911.35,26.92 inHg,934.71,27.61 inHg
284,[2019-11-02 22:46:32.712] ,94.3,25,911.92,26.93 inHg,935.3,27.62 inHg
285,[2019-11-02 22:56:33.126] ,94.2,24.9,912.62,26.95 inHg,936.01,27.64 inHg
286,[2019-11-02 23:06:33.602] ,94.1,25,913.96,26.99 inHg,937.39,27.68 inHg
287,[2019-11-02 23:16:33.922] ,93.8,24.9,913.16,26.97 inHg,936.57,27.66 inHg
288,[2019-11-02 23:26:34.336] ,94.2,24.8,912.36,26.95 inHg,935.75,27.64 inHg
289,[2019-11-02 23:36:34.750] ,94.7,24.8,912.36,,935.75,
290,[2019-11-02 23:46:35.164] ,94.7,24.6,913.15,26.97 inHg,936.56,27.66 inHg
291,[2019-11-02 23:56:35.578] ,94.6,24.8,913.95,26.99 inHg,937.38,27.68 inHg
292,[2019-11-03 00:06:35.991] ,94,24.8,914.9,27.02 inHg,938.35,27.71 inHg
293,[2019-11-03 00:16:36.452] ,93.9,24.8,914.9,,938.35,
294,[2019-11-03 00:26:36.772] ,95.2,24.8,915.94,27.05 inHg,939.42,27.74 inHg
295,[2019-11-03 00:36:37.194] ,95.2,24.8,915.74,27.04 inHg,939.21,27.74 inHg
296,[2019-11-03 00:46:37.592] ,95.1,24.7,915.34,27.03 inHg,938.8,27.73 inHg
297,[2019-11-03 00:56:38.006] ,95.1,24.6,914.34,27.00 inHg,937.78,27.70 inHg
298,[2019-11-03 01:06:38.420] ,95.2,24.6,915.96,27.05 inHg,939.44,27.74 inHg
299,[2019-11-03 01:16:38.834] ,95.3,24.5,916.59,27.07 inHg,940.09,27.76 inHg
300,[2019-11-03 01:26:39.232] ,95.3,24.6,915.3,27.03 inHg,938.76,27.72 inHg
301,[2019-11-03 01:36:39.646] ,95.3,24.6,915.27,27.03 inHg,938.73,27.72 inHg
302,[2019-11-03 01:46:40.060] ,95.4,24.5,915.62,27.04 inHg,939.09,27.73 inHg
303,[2019-11-03 01:56:40.473] ,95.5,24.5,916.28,27.06 inHg,939.76,27.75 inHg
304,[2019-11-03 02:06:40.872] ,95.6,24.6,913.6,26.98 inHg,937.02,27.67 inHg
305,[2019-11-03 02:16:41.286] ,95.6,24.5,914.68,27.01 inHg,938.13,27.71 inHg
306,[2019-11-03 02:36:42.160] ,95.6,24.7,913.61,26.98 inHg,937.03,27.67 inHg
307,[2019-11-03 02:46:42.480] ,95.2,24.7,913.71,26.98 inHg,937.13,27.68 inHg
308,[2019-11-03 02:56:42.894] ,95.3,24.8,913.31,26.97 inHg,936.72,27.66 inHg
309,[2019-11-03 03:06:43.308] ,95.1,24.9,912.72,26.96 inHg,936.12,27.65 inHg
310,[2019-11-03 03:16:43.722] ,95.5,25.1,911.68,26.92 inHg,935.05,27.62 inHg
311,[2019-11-03 03:26:44.136] ,95.2,25.1,912.68,26.95 inHg,936.07,27.65 inHg
312,[2019-11-03 03:36:44.550] ,95.2,25.2,911.23,26.91 inHg,934.59,27.60 inHg
313,[2019-11-03 03:46:44.979] ,91,25.2,912.23,26.94 inHg,935.61,27.63 inHg
314,[2019-11-03 03:56:45.393] ,93.1,25.3,911.68,26.92 inHg,935.05,27.62 inHg
315,[2019-11-03 04:06:45.807] ,94.3,25.3,911.5,26.92 inHg,934.86,27.61 inHg
316,[2019-11-03 04:16:46.236] ,94.2,25.3,912.15,26.94 inHg,935.53,27.63 inHg
317,[2019-11-03 04:26:46.650] ,92,25.4,911.5,26.92 inHg,934.86,27.61 inHg
318,[2019-11-03 04:36:47.064] ,89,25.5,911.19,26.91 inHg,934.55,27.60 inHg
319,[2019-11-03 04:46:47.493] ,91.4,25.5,910.97,26.90 inHg,934.32,27.59 inHg
320,[2019-11-03 04:56:47.907] ,86.4,25.7,910.48,26.89 inHg,933.82,27.58 inHg
321,[2019-11-03 05:06:48.337] ,90.5,25.6,910.48,,933.82,
322,[2019-11-03 05:16:48.750] ,87.6,25.7,909.94,26.87 inHg,933.27,27.56 inHg
323,[2019-11-03 05:26:49.164] ,90.6,25.6,908.11,26.82 inHg,931.39,27.51 inHg
324,[2019-11-03 05:36:49.594] ,90.3,25.7,907.89,26.81 inHg,931.16,27.50 inHg
